ContigID	genes	VPFs	Pfams	Length	clusterID
haib17CEM4890_H2NYMCCXY_SL254771_NODE_3551_length_5969_cov_6.92442	8	8	0	5969	1
haib17CEM4890_H2NYMCCXY_SL254783_NODE_5163_length_7379_cov_22.8073	10	10	0	7379	1
haib17CEM4890_HKC32ALXX_SL254680_NODE_2240_length_7347_cov_72.9977	7	6	0	7347	1
haib17CEM4890_HKC32ALXX_SL254760_NODE_382_length_8296_cov_9.3769	8	7	0	8296	1
haib17CEM5080_H7VL7CCXY_SL267266_NODE_1362_length_7246_cov_27.6928	9	9	0	7246	1
haib17CEM5080_H7VL7CCXY_SL267267_NODE_1254_length_7246_cov_440.873	9	9	0	7246	1
haib17CEM5106_HCCGHCCXY_SL270259_NODE_311_length_7246_cov_31.9022	7	7	0	7246	1
haib17CEM5106_HCCGHCCXY_SL270260_NODE_626_length_6932_cov_5.18569	8	7	0	6932	1
haib17CEM5106_HCCGHCCXY_SL270315_NODE_403_length_7246_cov_17.6017	7	7	0	7246	1
haib17CEM5106_HCCGHCCXY_SL270469_NODE_304_length_7246_cov_40.5711	7	7	0	7246	1
haib17CEM5106_HCCGHCCXY_SL270470_NODE_347_length_7246_cov_21.4698	7	7	0	7246	1
haib17CEM5106_HCCGHCCXY_SL270510_NODE_764_length_7246_cov_1593.12	7	7	0	7246	1
haib17CEM5106_HCCGHCCXY_SL270511_NODE_768_length_7246_cov_1552.6	7	7	0	7246	1
haib17CEM5106_HCV72CCXY_SL269743_NODE_1413_length_8935_cov_4.49257	11	11	0	8935	1
haib17CEM5106_HCV72CCXY_SL269808_NODE_352_length_7246_cov_26.9403	7	7	0	7246	1
haib17CEM5106_HCVMTCCXY_SL269616_NODE_737_length_7246_cov_16.6871	7	7	0	7246	1
haib17CEM5106_HCVMTCCXY_SL269617_NODE_693_length_8296_cov_18.3578	8	7	0	8296	1
haib17CEM5106_HCY5HCCXY_SL270995_NODE_319_length_7246_cov_43.0768	7	7	0	7246	1
haib17CEM5106_HCY5HCCXY_SL270996_NODE_319_length_7246_cov_45.7557	7	7	0	7246	1
haib17CEM5106_HCY5HCCXY_SL271131_NODE_348_length_7246_cov_35.3264	7	7	0	7246	1
haib17CEM5106_HCY5HCCXY_SL271132_NODE_337_length_7246_cov_52.1563	7	7	0	7246	1
haib17CEM5106_HCY5HCCXY_SL271138_NODE_1170_length_6316_cov_15.7721	7	7	0	6316	1
haib17CEM5106_HCY5JCCXY_SL269616_NODE_631_length_6471_cov_24.5937	5	5	0	6471	1
haib17DB4959_H3MGVCCXY_SL259928_NODE_1143_length_5086_cov_5.00656	5	5	0	5086	1
haib17DB4959_H3MGVCCXY_SL259929_NODE_328_length_7246_cov_112.754	7	7	0	7246	1
haib17DB4959_H3MGVCCXY_SL259941_NODE_627_length_7246_cov_35.5955	7	7	0	7246	1
haib17DB4959_H3MGVCCXY_SL259963_NODE_273_length_7246_cov_55.7208	7	7	0	7246	1
haib17DB4959_H3MGVCCXY_SL259983_NODE_312_length_7246_cov_65.1204	7	7	0	7246	1
haib17KIU4866_H7HJMCCXY_SL272747_NODE_82_length_43962_cov_6.78735	59	41	11	43962	1
haib17KIU4866_H7HJMCCXY_SL272784_NODE_588_length_5148_cov_3.68663	7	6	0	5148	1
haib18CEM5526_HMGTJCCXY_SL342622_NODE_219_length_7246_cov_87.9071	9	9	0	7246	1
haib18CEM5526_HMGW3CCXY_SL342622_NODE_541_length_7246_cov_89.8589	9	9	0	7246	1
haib17CEM4890_H2NYMCCXY_SL254770_NODE_4514_length_6737_cov_20.1265	10	8	0	6737	2
haib17CEM4890_H2NYMCCXY_SL254783_NODE_5165_length_7377_cov_16.3786	10	9	0	7377	2
haib17KIU4866_H7HJMCCXY_SL272747_NODE_231_length_14606_cov_11.2719	21	13	2	14606	2
haib17KIU4866_H7HJMCCXY_SL272747_NODE_584_length_5042_cov_8.76278	5	4	0	5042	2
haib17CEM4890_H2NYMCCXY_SL254770_NODE_5282_length_5982_cov_17.7187	5	5	0	5982	3
haib17CEM4890_H2NYMCCXY_SL254771_NODE_1069_length_16249_cov_25.0044	14	11	0	16249	3
haib17CEM4890_H2NYMCCXY_SL254794_NODE_1741_length_14462_cov_28.1498	11	9	0	14462	3
haib17CEM5080_H7VL7CCXY_SL267266_NODE_630_length_15227_cov_12.8511	20	18	1	15227	3
haib17CEM5080_H7VL7CCXY_SL267267_NODE_934_length_15570_cov_204.156	20	18	1	15570	3
