Viral_contig	length	Viral_Cluster	habitat	Lat	Lon
REF:Gammaproteobacteria_gi_545240021	119509	1	Gammaproteobacteria_gi_545240021	prophage	prophage
REF:Gammaproteobacteria_gi_510904240	92801	1	Gammaproteobacteria_gi_510904240	prophage	prophage
REF:Gammaproteobacteria_gi_545236384-1111621-1193003	81382	1	Gammaproteobacteria_gi_545236384-1111621-1193003	prophage	prophage
REF:Gammaproteobacteria_gi_545238743-3525397-3602765	77368	1	Gammaproteobacteria_gi_545238743-3525397-3602765	prophage	prophage
REF:Gammaproteobacteria_gi_545237669-3279486-3356754	77268	1	Gammaproteobacteria_gi_545237669-3279486-3356754	prophage	prophage
REF:Gammaproteobacteria_gi_545173864-710813-787614	76801	1	Gammaproteobacteria_gi_545173864-710813-787614	prophage	prophage
REF:Gammaproteobacteria_gi_545252842-1349892-1426112	76220	1	Gammaproteobacteria_gi_545252842-1349892-1426112	prophage	prophage
REF:Gammaproteobacteria_gi_545174804-1117898-1194117	76219	1	Gammaproteobacteria_gi_545174804-1117898-1194117	prophage	prophage
REF:Gammaproteobacteria_gi_414577017	58890	1	Gammaproteobacteria_gi_414577017	prophage	prophage
REF:Gammaproteobacteria_gi_476381019-518604-568094	49490	1	Gammaproteobacteria_gi_476381019-518604-568094	prophage	prophage
REF:Gammaproteobacteria_gi_545171898-2376468-2425741	49273	1	Gammaproteobacteria_gi_545171898-2376468-2425741	prophage	prophage
REF:Gammaproteobacteria_gi_545245962-1303271-1352502	49231	1	Gammaproteobacteria_gi_545245962-1303271-1352502	prophage	prophage
REF:Gammaproteobacteria_gi_476381109-1234427-1283335	48908	1	Gammaproteobacteria_gi_476381109-1234427-1283335	prophage	prophage
3300011340_____Ga0151652_12870931	48625	1	Freshwater	38.107	-121.6475
3300012212_____Ga0150985_109143245	48541	1	Host-plants	38.972988	-123.116539
3300012469_____Ga0150984_105764928	48540	1	Host-plants	38.97364	-123.117453
3300000576_____SL_7KL_010_BRINEDRAFT_10000043	48524	1	Non-marine Saline and Alkaline	51.37	79.5
2162886007_____SwRhRL2b_contig_2866811	48514	1	Host-plants	42.794771	-84.393804
3300005289_____Ga0065704_10070249	48514	1	Host-plants	42.794771	-84.393804
3300013880_____Ga0181298_100083	48505	1	Engineered-other	54.97825278	-1.61778056
REF:638276025_____638275500	48502	1	Escherichia virus Lambda	REF	REF
3300013883_____Ga0181297_100049	48499	1	Engineered-other	54.97825278	-1.61778056
REF:Gammaproteobacteria_gi_476380646-450010-498047	48037	1	Gammaproteobacteria_gi_476380646-450010-498047	prophage	prophage
REF:Gammaproteobacteria_gi_423700469-1136677-1184472	47795	1	Gammaproteobacteria_gi_423700469-1136677-1184472	prophage	prophage
REF:Gammaproteobacteria_gi_476381383-384433-432078	47645	1	Gammaproteobacteria_gi_476381383-384433-432078	prophage	prophage
REF:Gammaproteobacteria_gi_476381392-1992882-2040527	47645	1	Gammaproteobacteria_gi_476381392-1992882-2040527	prophage	prophage
REF:Gammaproteobacteria_gi_545234404-153996-201419	47423	1	Gammaproteobacteria_gi_545234404-153996-201419	prophage	prophage
REF:2595698467_____2595727449	47288	1	Escherichia phage HK629	REF	REF
REF:2595698465_____2595727447	47090	1	Escherichia phage HK630	REF	REF
REF:Gammaproteobacteria_gi_476380959	47048	1	Gammaproteobacteria_gi_476380959	prophage	prophage
REF:Gammaproteobacteria_gi_476380943-569036-615893	46857	1	Gammaproteobacteria_gi_476380943-569036-615893	prophage	prophage
REF:Gammaproteobacteria_gi_545253455-52139-98849	46710	1	Gammaproteobacteria_gi_545253455-52139-98849	prophage	prophage
REF:Gammaproteobacteria_gi_545234935-582253-628885	46632	1	Gammaproteobacteria_gi_545234935-582253-628885	prophage	prophage
REF:Gammaproteobacteria_gi_419353676-74064-120370	46306	1	Gammaproteobacteria_gi_419353676-74064-120370	prophage	prophage
REF:Gammaproteobacteria_gi_545240511-876032-921693	45661	1	Gammaproteobacteria_gi_545240511-876032-921693	prophage	prophage
REF:Gammaproteobacteria_gi_485871447-58922-104356	45434	1	Gammaproteobacteria_gi_485871447-58922-104356	prophage	prophage
REF:Gammaproteobacteria_gi_476381423-1238532-1283901	45369	1	Gammaproteobacteria_gi_476381423-1238532-1283901	prophage	prophage
REF:Gammaproteobacteria_gi_429910951-597384-642722	45338	1	Gammaproteobacteria_gi_429910951-597384-642722	prophage	prophage
REF:Gammaproteobacteria_gi_15829254-2158693-2203939	45246	1	Gammaproteobacteria_gi_15829254-2158693-2203939	prophage	prophage
REF:Gammaproteobacteria_gi_510917965-325997-370564	44567	1	Gammaproteobacteria_gi_510917965-325997-370564	prophage	prophage
REF:Gammaproteobacteria_gi_209917191-2122868-2167371	44503	1	Gammaproteobacteria_gi_209917191-2122868-2167371	prophage	prophage
REF:Gammaproteobacteria_gi_545230507-713399-757800	44401	1	Gammaproteobacteria_gi_545230507-713399-757800	prophage	prophage
REF:Gammaproteobacteria_gi_545237669-4004324-4048697	44373	1	Gammaproteobacteria_gi_545237669-4004324-4048697	prophage	prophage
REF:Gammaproteobacteria_gi_487671041-536018-580278	44260	1	Gammaproteobacteria_gi_487671041-536018-580278	prophage	prophage
REF:Gammaproteobacteria_gi_452719833-812104-856118	44014	1	Gammaproteobacteria_gi_452719833-812104-856118	prophage	prophage
REF:Gammaproteobacteria_gi_545282778-52-44033	43981	1	Gammaproteobacteria_gi_545282778-52-44033	prophage	prophage
haib17KIU4866_H7HJMCCXY_SL272747_NODE_82_length_43962_cov_6.78735	43962	1	Nigeria	8.457383333	4.57681
REF:Gammaproteobacteria_gi_555578523-578552-622453	43901	1	Gammaproteobacteria_gi_555578523-578552-622453	prophage	prophage
REF:Gammaproteobacteria_gi_417611737-74353-118076	43723	1	Gammaproteobacteria_gi_417611737-74353-118076	prophage	prophage
REF:Gammaproteobacteria_gi_545248603-334941-378620	43679	1	Gammaproteobacteria_gi_545248603-334941-378620	prophage	prophage
REF:Gammaproteobacteria_gi_487646064-102180-145846	43666	1	Gammaproteobacteria_gi_487646064-102180-145846	prophage	prophage
REF:Gammaproteobacteria_gi_218693476-821201-864826	43625	1	Gammaproteobacteria_gi_218693476-821201-864826	prophage	prophage
REF:Gammaproteobacteria_gi_422997572-1129527-1173151	43624	1	Gammaproteobacteria_gi_422997572-1129527-1173151	prophage	prophage
REF:Gammaproteobacteria_gi_423006539-582640-626264	43624	1	Gammaproteobacteria_gi_423006539-582640-626264	prophage	prophage
REF:Gammaproteobacteria_gi_487653816-70873-114496	43623	1	Gammaproteobacteria_gi_487653816-70873-114496	prophage	prophage
REF:Gammaproteobacteria_gi_417831737-121144-164762	43618	1	Gammaproteobacteria_gi_417831737-121144-164762	prophage	prophage
REF:Gammaproteobacteria_gi_550713573-558672-602209	43537	1	Gammaproteobacteria_gi_550713573-558672-602209	prophage	prophage
REF:Gammaproteobacteria_gi_487522667	43489	1	Gammaproteobacteria_gi_487522667	prophage	prophage
REF:Gammaproteobacteria_gi_429948620-1144646-1187933	43287	1	Gammaproteobacteria_gi_429948620-1144646-1187933	prophage	prophage
REF:Gammaproteobacteria_gi_422763052-297573-340792	43219	1	Gammaproteobacteria_gi_422763052-297573-340792	prophage	prophage
REF:Gammaproteobacteria_gi_487679061-288806-331975	43169	1	Gammaproteobacteria_gi_487679061-288806-331975	prophage	prophage
REF:Gammaproteobacteria_gi_433109774-206-43304	43098	1	Gammaproteobacteria_gi_433109774-206-43304	prophage	prophage
REF:Gammaproteobacteria_gi_450186470-25480-68528	43048	1	Gammaproteobacteria_gi_450186470-25480-68528	prophage	prophage
REF:Gammaproteobacteria_gi_556511384-380463-423491	43028	1	Gammaproteobacteria_gi_556511384-380463-423491	prophage	prophage
